ID,strs3,creg23,conflict_pre,conflict_post,closeness_pre,closeness_post
1,110101001,1,4.0,3.142857074737549,3.625,4.625
2,110101003,2,3.857142925262451,4.428571224212647,3.875,3.875
3,110101004,2,5.0,3.5714285373687744,2.125,2.875
5,110101007,1,4.428571224212647,1.8571428060531616,4.25,5.0
4,110101007,1,4.0,2.0,4.25,5.0
8,110101009,2,2.2857143878936768,1.8571428060531616,5.0,4.875
7,110101009,2,2.0,2.5714285373687744,4.625,4.875
6,110101009,2,1.7142857313156128,1.5714285373687744,4.5,5.0
11,110102005,1,3.2857143878936768,2.4285714626312256,4.625,4.5
12,110102012,1,3.142857074737549,2.2857143878936768,3.625,4.875
13,110102012,1,3.142857074737549,1.7142857313156128,4.25,5.0
14,110102013,2,5.0,5.0,3.625,3.875
15,110102014,2,2.4285714626312256,2.7142856121063232,3.875,3.75
16,110102015,1,4.0,2.5714285373687744,4.0,3.875
18,110102015,1,4.714285850524902,4.142857074737549,3.75,3.375
17,110102015,1,3.0,2.142857074737549,3.75,3.375
19,120103017,1,2.2857143878936768,1.7142857313156128,4.5,4.75
20,120103018,2,3.5714285373687744,3.0,4.875,4.5
21,120103018,2,3.5714285373687744,3.4285714626312256,4.5,3.75
24,120103019,1,3.142857074737549,1.8571428060531616,4.625,4.5
23,120103019,1,3.7142856121063232,1.8571428060531616,4.875,4.625
22,120103019,1,3.2857143878936768,3.857142925262451,3.875,3.625
25,120103020,1,3.2857143878936768,2.142857074737549,3.625,4.5
28,120103021,2,3.2857143878936768,2.2857143878936768,4.5,5.0
27,120103021,2,2.4285714626312256,3.4285714626312256,4.25,4.0
26,120103021,2,3.2857143878936768,2.857142925262451,3.625,4.5
30,120103022,1,3.142857074737549,1.8571428060531616,3.625,4.0
29,120103022,1,3.5714285373687744,2.4285714626312256,4.375,4.75
31,120103023,1,2.142857074737549,2.2857143878936768,4.75,4.625
33,120103023,1,3.7142856121063232,4.142857074737549,4.375,4.75
32,120103023,1,2.7142856121063232,3.7142856121063232,4.375,4.625
35,120103024,2,2.7142856121063232,1.2857142686843872,4.125,4.875
36,120103024,2,3.0,1.8571428060531616,4.5,4.25
37,120103026,2,2.2857143878936768,2.4285714626312256,4.125,3.75
40,120103027,1,3.142857074737549,2.142857074737549,4.75,4.375
39,120103027,1,3.7142856121063232,2.4285714626312256,4.5,4.5
38,120103027,1,2.0,1.7142857313156128,4.5,4.625
41,120103029,1,1.0,1.0,5.0,4.875
43,120104032,2,2.857142925262451,4.428571224212647,4.75,4.5
42,120104032,2,2.4285714626312256,3.2857143878936768,3.625,4.125
45,120104034,2,3.142857074737549,3.5714285373687744,3.5,3.125
44,120104034,2,3.0,2.2857143878936768,3.375,4.25
46,120104035,1,1.7142857313156128,1.0,3.125,4.625
47,120104035,1,2.5714285373687744,2.2857143878936768,3.5,4.25
48,120104036,2,3.0,3.142857074737549,4.625,4.625
50,120104037,2,3.4285714626312256,3.0,4.625,3.375
53,120104039,1,2.5714285373687744,1.7142857313156128,4.5,4.75
52,120104039,1,3.5714285373687744,3.7142856121063232,4.25,4.5
54,120104040,1,3.142857074737549,1.5714285373687744,2.125,3.375
55,120104040,1,3.7142856121063232,1.2857142686843872,2.375,3.5
58,120104041,1,2.2857143878936768,2.142857074737549,4.5,4.5
56,120104041,1,1.5714285373687744,1.4285714626312256,4.625,4.625
57,120104041,1,1.4285714626312256,1.5714285373687744,5.0,4.5
59,130105045,1,1.5714285373687744,2.2857143878936768,3.625,4.25
61,130105047,1,2.5714285373687744,3.2857143878936768,5.0,4.75
60,130105047,1,4.5714287757873535,4.142857074737549,3.0,3.875
62,130105047,1,4.857142925262451,4.714285850524902,3.375,4.125
64,130105048,2,4.428571224212647,4.714285850524902,3.375,3.375
63,130105048,2,2.7142856121063232,2.7142856121063232,3.375,4.625
65,130105048,2,3.142857074737549,2.0,3.25,3.75
66,130105055,2,4.5714287757873535,4.428571224212647,3.25,3.625
67,130105061,1,4.428571224212647,4.142857074737549,3.875,3.625
69,130105065,1,4.285714149475098,3.5714285373687744,4.75,4.625
68,130105065,1,2.4285714626312256,2.4285714626312256,3.875,4.5
70,130105068,2,2.5714285373687744,1.8571428060531616,3.125,2.75
71,130105070,2,3.142857074737549,2.0,3.875,3.375
72,130106054,1,2.857142925262451,2.7142856121063232,4.0,4.875
73,130106056,1,4.285714149475098,4.0,4.625,4.75
76,130106057,2,3.2857143878936768,4.285714149475098,2.0,2.75
75,130106057,2,4.0,4.428571224212647,3.625,4.0
74,130106057,2,3.857142925262451,3.857142925262451,4.0,4.0
80,140101075,2,1.7142857313156128,3.857142925262451,4.875,4.5
79,140101075,2,2.5714285373687744,2.4285714626312256,4.375,4.5
81,140101075,2,2.2857143878936768,3.0,4.5,4.875
83,140101077,1,2.7142856121063232,2.0,3.75,3.75
82,140101077,1,2.857142925262451,4.0,3.75,3.75
86,140101094,1,3.0,3.0,3.375,4.125
87,140101094,1,4.285714149475098,4.428571224212647,3.0,3.25
90,140103072,1,3.4285714626312256,3.0,3.75,3.625
88,140103072,1,3.2857143878936768,3.142857074737549,4.125,3.625
89,140103072,1,3.2857143878936768,2.7142856121063232,4.125,4.0
92,140103073,2,4.142857074737549,4.285714149475098,3.5,3.125
93,140104078,1,1.7142857313156128,1.2857142686843872,4.375,5.0
95,140104079,2,2.857142925262451,3.142857074737549,4.5,4.625
96,140106076,2,3.142857074737549,2.2857143878936768,4.0,4.75
97,140106081,1,3.4285714626312256,2.7142856121063232,2.625,3.75
98,140106081,1,3.2857143878936768,4.5714287757873535,1.875,2.5
100,140108090,1,3.142857074737549,3.857142925262451,4.0,4.125
99,140108090,1,3.142857074737549,2.5714285373687744,3.625,4.375
102,140108092,1,2.4285714626312256,3.4285714626312256,4.875,4.875
104,140108095,1,3.4285714626312256,2.2857143878936768,3.75,4.875
103,140108095,1,2.7142856121063232,3.5714285373687744,3.75,3.75
106,140109084,2,3.7142856121063232,4.285714149475098,4.625,4.375
107,140109084,2,4.285714149475098,4.428571224212647,4.0,4.125
105,140109084,2,3.5714285373687744,4.428571224212647,4.75,3.75
108,140109086,2,2.857142925262451,2.7142856121063232,3.625,4.0
109,140109086,2,3.7142856121063232,4.142857074737549,3.375,3.0
110,140109096,2,3.0,3.4285714626312256,4.625,4.625
112,140109097,1,4.0,4.142857074737549,3.75,4.0
111,140109097,1,2.5714285373687744,2.4285714626312256,4.5,4.875
113,215050501,1,3.142857074737549,1.7142857313156128,4.5,4.875
114,215050502,2,3.857142925262451,2.5714285373687744,4.125,4.0
115,215050503,1,3.142857074737549,1.8571428060531616,4.25,4.875
118,215050504,1,4.0,4.0,4.25,4.375
117,215050504,1,3.4285714626312256,2.7142856121063232,3.25,4.75
116,215050504,1,3.2857143878936768,2.857142925262451,4.125,3.375
119,215050505,2,3.7142856121063232,2.857142925262451,3.375,4.125
121,215050506,1,4.0,4.142857074737549,3.375,3.0
120,215050506,1,5.0,3.7142856121063232,3.375,3.75
123,215050507,1,2.2857143878936768,1.7142857313156128,4.125,4.5
122,215050507,1,2.2857143878936768,2.4285714626312256,3.875,4.625
124,215050507,1,3.4285714626312256,2.5714285373687744,3.5,4.5
126,215050508,2,3.0,2.142857074737549,4.125,5.0
125,215050508,2,3.7142856121063232,1.2857142686843872,4.875,5.0
127,215050508,2,2.0,1.1428571939468384,5.0,5.0
129,215050509,2,2.4285714626312256,2.5714285373687744,4.75,4.125
128,215050509,2,2.142857074737549,2.7142856121063232,4.625,4.5
130,225051511,2,2.0,2.2857143878936768,3.625,4.125
132,225051511,2,2.857142925262451,2.5714285373687744,4.25,4.0
131,225051511,2,1.8571428060531616,2.857142925262451,3.875,4.125
135,225051512,1,1.5714285373687744,2.0,4.875,5.0
133,225051512,1,3.0,2.4285714626312256,4.625,4.75
134,225051512,1,2.142857074737549,1.8571428060531616,4.75,4.75
136,225051513,1,3.2857143878936768,2.857142925262451,3.375,4.75
