ROWID,COMPID,SUB,LEAD01,LEAD02,LEAD03,LEAD04,LEAD05,LEAD06,LEAD07,LEAD08,LEAD09,LEAD10,LEAD11,TSIG01,TSIG02,TSIG03,HOSTIL01,HOSTIL02,HOSTIL03,HOSTIL04,HOSTIL05,LEAD,TSIG,HOSTILE,GLEAD,GTSIG,GHOSTILE
1,2,1,2,2,2,3,2,2,5,5,5,5,4,1,5,5,0,0,0,0,0,3.363636364,3.666666667,0,2.882575758,3.541666667,1.041666667
2,2,2,4,4,2,4,4,4,4,4,4,4,3,3,4,3,3,2,0,0,1,3.727272727,3.333333333,1.2,2.882575758,3.541666667,1.041666667
3,2,3,4,4,2,4,2,4,4,4,4,4,2,5,5,5,1,0,0,0,1,3.454545455,5,.4,2.882575758,3.541666667,1.041666667
4,2,4,1,1,1,1,1,1,4,2,3,3,2,1,3,2,2,1,3,3,0,1.818181818,2,1.8,2.882575758,3.541666667,1.041666667
5,2,5,1,1,1,1,3,2,1,1,1,1,1,4,4,4,2,0,0,0,0,1.272727273,4,.4,2.882575758,3.541666667,1.041666667
6,2,6,2,3,2,4,2,4,3,4,2,4,3,4,4,4,0,0,0,0,0,3,4,0,2.882575758,3.541666667,1.041666667
7,2,7,3,2,2,1,2,2,2,2,3,4,2,2,4,4,2,0,1,1,0,2.272727273,3.333333333,.8,2.882575758,3.541666667,1.041666667
8,2,8,3,3,2,4,2,2,2,4,2,2,4,2,2,4,0,0,0,0,0,2.727272727,2.666666667,0,2.882575758,3.541666667,1.041666667
9,2,9,3,4,3,2,3,3,3,1,3,2,3,4,3,4,0,4,4,4,4,2.727272727,3.666666667,3.2,2.882575758,3.541666667,1.041666667
10,2,10,4,3,3,4,3,4,3,4,3,4,3,4,4,4,1,0,0,0,0,3.454545455,4,.2,2.882575758,3.541666667,1.041666667
11,2,11,2,4,1,3,1,3,3,4,2,3,2,3,4,3,1,0,0,0,0,2.545454545,3.333333333,.2,2.882575758,3.541666667,1.041666667
12,2,12,2,3,1,1,2,4,1,3,2,2,1,3,3,3,2,2,0,1,2,2,3,1.4,2.882575758,3.541666667,1.041666667
13,2,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,0,2.882575758,3.541666667,1.041666667
