student_id,school_id,school_belonging,peer_inclusivity,teacher_support,community_activities,small_school,school_context
1,94,1,1,1,1,1,Urban
2,68,0,0,1,0,1,Urban
3,77,1,1,1,1,1,Rural
4,7,0,0,1,1,0,Urban
5,102,1,0,0,1,1,Urban
6,67,1,0,1,1,0,Suburban
7,9,1,1,0,1,1,Suburban
8,78,0,1,1,1,0,Suburban
9,116,1,0,1,1,1,Urban
10,63,1,1,1,1,1,Urban
11,11,1,1,1,0,0,Urban
12,37,1,1,1,0,0,Urban
13,14,0,0,0,0,0,Urban
14,19,1,0,0,1,0,Rural
15,8,0,1,0,1,1,Suburban
16,7,1,1,0,0,0,Urban
17,59,0,0,0,0,0,Urban
18,63,1,0,1,0,1,Urban
19,7,1,1,0,1,0,Urban
20,120,1,1,1,1,1,Rural
21,55,1,0,1,1,1,Suburban
22,3,1,0,1,0,1,Urban
23,67,1,0,1,1,0,Suburban
24,18,0,0,1,0,1,Rural
25,45,1,1,0,1,0,Urban
26,97,1,1,1,0,1,Suburban
27,101,0,0,1,0,0,Urban
28,92,1,0,1,0,1,Urban
29,36,1,0,1,0,1,Suburban
30,16,1,0,1,1,0,Suburban
31,79,1,1,1,0,0,Suburban
32,29,1,1,1,0,1,Rural
33,59,1,0,1,1,0,Urban
34,18,1,0,0,1,1,Rural
35,49,1,0,0,0,1,Suburban
36,110,0,0,1,1,0,Suburban
37,46,1,0,1,1,1,Urban
38,83,0,1,1,0,0,Suburban
39,29,0,1,0,0,1,Rural
40,70,1,1,1,0,1,Rural
41,109,1,1,1,1,0,Suburban
42,50,1,1,0,0,0,Urban
43,122,1,1,1,0,1,Urban
44,111,1,1,1,1,0,Suburban
45,55,1,1,1,1,1,Suburban
46,27,0,1,0,0,0,Urban
47,7,1,1,0,1,0,Urban
48,91,1,1,0,0,0,Suburban
49,83,1,0,1,0,0,Suburban
50,81,1,1,1,1,1,Urban
51,41,1,1,0,1,0,Suburban
52,11,0,1,0,0,0,Urban
53,5,1,0,1,1,0,Rural
54,66,1,1,0,1,1,Suburban
55,111,1,0,1,0,0,Suburban
56,56,1,1,1,1,1,Urban
57,12,1,1,1,0,1,Urban
58,42,1,1,1,1,0,Suburban
59,106,0,1,0,1,0,Urban
60,116,0,0,1,0,1,Urban
61,75,1,0,1,0,1,Suburban
62,10,0,0,0,0,1,Urban
63,28,0,1,0,0,1,Urban
64,7,1,1,1,0,0,Urban
65,14,1,0,1,0,0,Urban
66,77,1,1,1,1,1,Rural
67,69,1,1,1,0,0,Urban
68,61,1,1,0,1,0,Rural
69,51,1,1,0,1,1,Suburban
70,42,1,0,1,0,0,Suburban
71,8,1,0,1,1,1,Suburban
72,50,1,0,1,0,0,Urban
73,1,1,1,0,0,0,Urban
74,69,1,1,1,1,0,Urban
75,11,1,1,1,0,0,Urban
76,116,1,1,1,1,1,Urban
77,107,1,1,1,1,0,Rural
78,48,1,0,1,1,1,Suburban
79,10,1,0,1,1,1,Urban
80,15,1,1,0,1,0,Suburban
81,103,0,0,0,0,0,Urban
82,47,1,0,0,0,0,Urban
83,93,1,1,1,1,1,Suburban
84,25,1,0,1,0,0,Suburban
85,112,1,1,1,0,0,Suburban
86,6,1,1,1,0,0,Rural
87,11,1,1,0,1,0,Urban
88,17,1,0,1,0,0,Urban
89,15,1,1,1,1,0,Suburban
90,16,1,1,0,0,0,Suburban
91,56,1,1,0,0,1,Urban
92,66,1,1,1,0,1,Suburban
93,36,1,0,1,0,1,Suburban
94,83,0,0,1,1,0,Suburban
95,38,1,1,1,0,0,Suburban
96,114,1,1,1,0,1,Suburban
97,85,1,1,1,1,0,Urban
98,75,1,1,0,0,1,Suburban
99,105,1,1,1,0,1,Rural
100,3,1,1,1,0,1,Urban
101,98,1,1,1,1,0,Rural
102,18,1,0,1,1,1,Rural
103,79,1,0,0,0,0,Suburban
104,89,1,1,1,0,1,Suburban
105,54,1,1,1,0,1,Urban
106,114,1,0,1,0,1,Suburban
107,115,1,1,0,1,1,Urban
108,79,0,0,1,1,0,Suburban
109,94,1,0,0,0,1,Urban
110,17,1,1,1,1,0,Urban
111,82,1,1,1,0,1,Rural
112,95,0,0,1,0,1,Urban
113,114,1,1,0,0,1,Suburban
114,107,0,1,0,0,0,Rural
115,82,0,0,1,1,1,Rural
116,119,1,1,1,0,1,Rural
117,99,1,1,1,0,0,Suburban
118,13,1,0,1,1,1,Rural
119,63,0,1,1,1,1,Urban
120,14,1,1,0,1,0,Urban
121,59,0,0,0,1,0,Urban
122,36,0,1,1,0,1,Suburban
123,18,0,0,1,1,1,Rural
124,5,1,0,0,1,0,Rural
125,14,1,1,0,1,0,Urban
126,25,1,1,1,1,0,Suburban
127,44,1,1,1,0,1,Rural
128,121,1,1,1,1,1,Rural
129,39,1,1,1,0,1,Urban
130,12,0,0,1,0,1,Urban
131,104,1,1,1,0,1,Urban
132,61,1,1,1,1,0,Rural
133,62,1,0,1,0,0,Rural
134,53,1,1,1,1,1,Suburban
135,53,1,0,1,0,1,Suburban
136,28,0,1,0,1,1,Urban
137,35,1,1,0,0,1,Suburban
138,118,1,0,1,1,0,Urban
139,65,1,0,1,1,0,Rural
140,3,1,0,0,0,1,Urban
141,43,1,0,1,0,0,Urban
142,50,1,0,1,1,0,Urban
143,71,0,1,1,1,1,Rural
144,9,1,1,1,1,1,Suburban
145,36,1,0,1,0,1,Suburban
146,23,0,0,0,1,0,Urban
147,88,0,0,1,0,1,Urban
148,74,1,1,1,1,1,Urban
149,50,1,1,0,1,0,Urban
150,55,1,0,1,0,1,Suburban
151,112,0,1,1,1,0,Suburban
152,12,1,0,1,1,1,Urban
153,83,1,0,1,1,0,Suburban
154,32,1,1,1,0,0,Suburban
155,24,1,0,1,0,0,Urban
156,86,1,0,1,1,0,Suburban
157,67,1,1,1,0,0,Suburban
158,104,0,0,1,0,1,Urban
159,27,1,1,1,1,0,Urban
160,61,1,0,1,0,0,Rural
161,19,1,1,1,1,0,Rural
162,73,0,0,1,0,0,Urban
163,51,1,1,0,0,1,Suburban
164,64,0,1,1,1,0,Suburban
165,113,0,0,1,1,1,Urban
166,77,1,1,0,1,1,Rural
167,2,1,1,1,1,1,Urban
168,36,1,0,1,1,1,Suburban
169,93,1,0,0,0,1,Suburban
170,11,1,1,0,0,0,Urban
171,98,0,0,1,0,0,Rural
172,68,1,1,1,1,1,Urban
173,68,0,1,1,0,1,Urban
174,116,0,1,0,0,1,Urban
175,64,1,0,1,0,0,Suburban
176,1,1,0,1,0,0,Urban
177,89,0,0,0,0,1,Suburban
178,26,1,0,1,1,1,Suburban
179,11,0,1,0,0,0,Urban
180,87,1,1,1,1,1,Urban
181,2,1,1,1,1,1,Urban
182,83,1,1,1,0,0,Suburban
183,93,1,1,0,1,1,Suburban
184,40,1,0,1,0,0,Suburban
185,119,1,1,1,1,1,Rural
186,116,1,1,1,1,1,Urban
187,4,1,1,0,1,1,Suburban
188,121,0,0,0,1,1,Rural
189,80,0,0,1,0,0,Urban
190,111,1,1,1,0,0,Suburban
191,37,1,1,0,1,0,Urban
192,61,1,0,1,0,0,Rural
193,91,1,1,1,0,0,Suburban
194,5,0,0,1,0,0,Rural
195,15,0,0,0,1,0,Suburban
196,87,1,1,1,0,1,Urban
197,113,1,1,1,1,1,Urban
198,67,1,0,1,0,0,Suburban
199,82,1,1,1,0,1,Rural
200,107,1,1,1,1,0,Rural
201,26,1,0,1,0,1,Suburban
202,6,0,0,1,1,0,Rural
203,44,1,0,1,0,1,Rural
204,118,1,0,1,0,0,Urban
205,58,0,1,0,0,0,Urban
206,81,1,1,0,1,1,Urban
207,46,0,0,0,1,1,Urban
208,102,0,1,1,1,1,Urban
209,42,1,1,1,0,0,Suburban
210,48,1,0,1,1,1,Suburban
211,114,1,1,0,0,1,Suburban
212,27,0,1,0,1,0,Urban
213,20,1,1,0,1,0,Urban
214,70,1,1,1,1,1,Rural
215,115,0,1,1,0,1,Urban
216,35,1,1,1,1,1,Suburban
217,76,0,1,1,0,1,Rural
218,48,1,0,1,1,1,Suburban
219,67,1,0,0,0,0,Suburban
220,112,1,1,1,0,0,Suburban
221,68,1,0,1,0,1,Urban
222,121,1,1,1,0,1,Rural
223,52,1,1,0,0,1,Urban
224,109,1,0,1,1,0,Suburban
225,68,1,1,1,1,1,Urban
226,4,1,0,0,1,1,Suburban
227,39,1,1,1,1,1,Urban
228,21,1,0,1,0,1,Suburban
229,108,0,1,1,1,1,Suburban
230,66,1,0,1,0,1,Suburban
231,16,0,1,0,1,0,Suburban
232,7,0,0,0,0,0,Urban
233,83,1,1,1,0,0,Suburban
234,107,1,1,1,0,0,Rural
235,97,1,0,1,0,1,Suburban
236,9,1,1,1,0,1,Suburban
237,101,0,0,1,0,0,Urban
238,122,1,0,1,1,1,Urban
239,17,1,1,1,1,0,Urban
240,91,0,0,0,0,0,Suburban
241,97,1,1,1,0,1,Suburban
242,113,1,0,1,1,1,Urban
243,12,1,1,1,0,1,Urban
244,57,0,1,0,1,0,Rural
245,45,1,0,1,0,0,Urban
246,120,0,0,1,1,1,Rural
247,11,1,1,1,1,0,Urban
248,13,1,0,0,1,1,Rural
249,31,1,1,1,1,1,Urban
250,77,0,1,0,0,1,Rural
251,102,0,1,0,0,1,Urban
252,26,1,1,0,1,1,Suburban
253,63,1,1,1,1,1,Urban
254,31,1,1,1,0,1,Urban
255,22,1,0,1,1,0,Urban
256,6,0,0,0,0,0,Rural
257,20,1,0,1,0,0,Urban
258,85,1,1,1,1,0,Urban
259,10,0,1,1,0,1,Urban
260,83,0,0,1,1,0,Suburban
261,35,1,0,1,0,1,Suburban
262,26,0,1,1,0,1,Suburban
263,71,0,0,1,1,1,Rural
264,37,0,0,0,1,0,Urban
265,8,0,0,1,0,1,Suburban
266,5,1,0,1,0,0,Rural
267,44,1,0,1,0,1,Rural
268,100,1,1,1,0,0,Suburban
269,115,1,0,0,1,1,Urban
270,92,1,0,1,1,1,Urban
271,114,1,1,1,0,1,Suburban
272,67,1,1,1,0,0,Suburban
273,103,0,1,0,1,0,Urban
274,72,1,0,1,1,0,Suburban
275,79,1,0,0,1,0,Suburban
276,117,1,1,1,1,1,Suburban
277,91,1,1,1,0,0,Suburban
278,49,1,1,1,0,1,Suburban
279,115,0,0,0,1,1,Urban
280,36,1,0,1,1,1,Suburban
281,80,0,0,0,0,0,Urban
282,26,1,1,1,0,1,Suburban
283,45,1,1,1,0,0,Urban
284,61,0,1,1,1,0,Rural
285,44,1,1,0,0,1,Rural
286,4,1,0,1,0,1,Suburban
287,76,0,0,0,1,1,Rural
288,81,0,0,0,0,1,Urban
289,58,0,0,0,0,0,Urban
290,105,1,1,1,0,1,Rural
291,108,1,0,1,0,1,Suburban
292,26,0,0,0,0,1,Suburban
293,95,1,0,1,1,1,Urban
294,79,1,1,1,1,0,Suburban
295,116,1,1,1,0,1,Urban
296,98,1,1,1,0,0,Rural
297,29,1,0,1,1,1,Rural
298,9,1,0,1,0,1,Suburban
299,78,1,1,1,0,0,Suburban
300,36,1,0,1,1,1,Suburban
301,4,1,0,1,0,1,Suburban
302,59,1,1,1,0,0,Urban
303,102,0,1,1,0,1,Urban
304,120,1,0,1,0,1,Rural
305,37,1,1,1,0,0,Urban
306,88,1,0,1,0,1,Urban
307,81,1,1,1,0,1,Urban
308,13,1,0,0,1,1,Rural
309,20,1,1,1,0,0,Urban
310,17,0,1,0,0,0,Urban
311,51,1,0,1,1,1,Suburban
312,91,1,1,1,1,0,Suburban
313,55,1,1,1,0,1,Suburban
314,33,0,1,1,0,0,Rural
315,21,1,0,1,0,1,Suburban
316,81,1,0,1,1,1,Urban
317,22,1,0,1,0,0,Urban
318,25,1,1,1,0,0,Suburban
319,67,1,1,1,0,0,Suburban
320,91,0,1,0,0,0,Suburban
321,91,1,1,1,0,0,Suburban
322,110,1,1,1,0,0,Suburban
323,12,1,1,1,1,1,Urban
324,15,1,1,1,1,0,Suburban
325,102,0,0,0,0,1,Urban
326,84,1,1,1,0,0,Urban
327,86,1,1,1,0,0,Suburban
328,2,0,0,0,0,1,Urban
329,4,1,1,1,1,1,Suburban
330,45,1,0,1,1,0,Urban
331,13,0,0,0,0,1,Rural
332,55,1,0,1,0,1,Suburban
333,32,0,1,1,0,0,Suburban
334,22,0,0,1,1,0,Urban
335,89,1,1,1,1,1,Suburban
336,91,1,1,1,1,0,Suburban
337,55,1,1,0,1,1,Suburban
338,17,1,0,1,0,0,Urban
339,70,1,1,0,1,1,Rural
340,107,1,1,0,1,0,Rural
341,51,1,0,1,1,1,Suburban
342,80,1,1,1,0,0,Urban
343,8,1,1,1,1,1,Suburban
344,61,1,1,0,1,0,Rural
345,97,1,1,0,1,1,Suburban
346,10,1,1,1,1,1,Urban
347,98,1,1,1,1,0,Rural
348,19,1,0,1,1,0,Rural
349,14,1,1,0,1,0,Urban
350,67,1,1,1,1,0,Suburban
351,55,0,0,1,0,1,Suburban
352,61,1,1,0,0,0,Rural
353,56,0,0,1,0,1,Urban
354,63,1,1,1,1,1,Urban
355,105,1,1,1,1,1,Rural
356,87,1,1,1,1,1,Urban
357,104,1,1,1,0,1,Urban
358,11,1,1,0,0,0,Urban
359,47,1,1,1,0,0,Urban
360,6,1,1,1,0,0,Rural
361,34,1,1,1,1,1,Urban
362,65,1,1,1,0,0,Rural
363,99,1,1,1,1,0,Suburban
364,89,0,1,0,1,1,Suburban
365,64,0,1,0,0,0,Suburban
366,93,1,0,1,1,1,Suburban
367,87,1,1,1,0,1,Urban
368,82,1,0,1,0,1,Rural
369,78,1,0,0,1,0,Suburban
370,81,1,1,1,1,1,Urban
371,66,1,0,0,0,1,Suburban
372,31,1,0,1,0,1,Urban
373,83,0,1,0,0,0,Suburban
374,96,0,1,0,0,0,Suburban
375,62,1,0,0,1,0,Rural
376,54,1,0,1,1,1,Urban
377,92,1,1,1,0,1,Urban
378,105,1,1,1,1,1,Rural
379,8,0,1,0,0,1,Suburban
380,42,1,1,1,0,0,Suburban
381,41,1,0,0,1,0,Suburban
382,59,1,1,0,1,0,Urban
383,40,1,1,1,1,0,Suburban
384,103,1,0,0,1,0,Urban
385,22,0,1,1,1,0,Urban
386,24,1,1,1,0,0,Urban
387,38,1,0,1,1,0,Suburban
388,2,1,0,1,1,1,Urban
389,41,0,1,0,0,0,Suburban
390,105,1,1,1,1,1,Rural
391,19,1,1,1,0,0,Rural
392,105,1,1,1,0,1,Rural
393,2,0,1,0,1,1,Urban
394,92,1,1,1,0,1,Urban
395,96,0,1,0,1,0,Suburban
396,62,1,1,1,0,0,Rural
397,83,1,1,1,1,0,Suburban
398,16,1,1,1,0,0,Suburban
399,94,0,1,1,0,1,Urban
400,22,0,1,0,0,0,Urban
401,14,1,1,1,1,0,Urban
402,116,0,0,0,1,1,Urban
403,56,1,1,1,1,1,Urban
404,65,1,0,1,0,0,Rural
405,45,1,0,0,0,0,Urban
406,54,1,1,0,0,1,Urban
407,66,1,1,1,1,1,Suburban
408,86,1,1,1,0,0,Suburban
409,46,1,1,1,1,1,Urban
410,33,1,0,1,1,0,Rural
411,79,0,1,0,0,0,Suburban
412,50,0,1,0,0,0,Urban
413,105,1,1,1,1,1,Rural
414,22,0,1,0,0,0,Urban
415,40,1,0,1,0,0,Suburban
416,39,1,1,1,0,1,Urban
417,105,1,1,1,1,1,Rural
418,41,1,0,1,1,0,Suburban
419,75,1,0,1,0,1,Suburban
420,68,1,1,1,0,1,Urban
421,7,1,1,1,0,0,Urban
422,85,1,1,1,1,0,Urban
423,71,1,1,0,0,1,Rural
424,4,1,1,1,0,1,Suburban
425,76,1,1,1,1,1,Rural
426,122,0,1,0,1,1,Urban
427,91,1,1,0,1,0,Suburban
428,59,1,0,0,1,0,Urban
429,81,1,1,1,0,1,Urban
430,84,1,1,1,0,0,Urban
431,95,1,1,1,0,1,Urban
432,26,1,0,1,0,1,Suburban
433,31,0,1,0,1,1,Urban
434,99,1,1,1,1,0,Suburban
435,73,1,0,1,1,0,Urban
436,69,0,0,1,0,0,Urban
437,52,1,0,1,1,1,Urban
438,112,0,1,0,1,0,Suburban
439,72,1,1,1,0,0,Suburban
440,21,1,0,1,1,1,Suburban
441,16,1,0,1,0,0,Suburban
442,51,1,1,1,0,1,Suburban
443,16,1,1,1,1,0,Suburban
444,18,0,1,1,1,1,Rural
445,47,0,0,1,0,0,Urban
446,56,0,1,0,0,1,Urban
447,28,0,1,0,1,1,Urban
448,82,1,1,0,1,1,Rural
449,78,1,1,0,1,0,Suburban
450,56,1,1,1,0,1,Urban
451,112,1,1,1,0,0,Suburban
452,37,1,0,1,0,0,Urban
453,104,1,1,0,0,1,Urban
454,16,1,1,0,0,0,Suburban
455,85,1,1,0,0,0,Urban
456,65,1,1,1,1,0,Rural
457,60,1,1,0,0,0,Urban
458,61,1,1,1,1,0,Rural
459,11,1,1,1,0,0,Urban
460,75,1,1,1,0,1,Suburban
461,66,1,1,1,0,1,Suburban
462,32,1,0,1,0,0,Suburban
463,118,0,1,1,0,0,Urban
464,19,1,0,1,1,0,Rural
465,56,1,1,1,1,1,Urban
466,5,0,0,0,0,0,Rural
467,3,1,0,1,0,1,Urban
468,28,1,1,1,1,1,Urban
469,90,0,1,0,1,0,Suburban
470,87,0,1,0,0,1,Urban
471,94,1,1,1,1,1,Urban
472,72,1,0,1,1,0,Suburban
473,100,1,0,1,1,0,Suburban
474,29,1,0,1,1,1,Rural
475,77,1,1,1,1,1,Rural
476,59,1,0,0,1,0,Urban
477,25,1,0,1,0,0,Suburban
478,22,0,1,0,1,0,Urban
479,110,1,1,0,1,0,Suburban
480,97,1,0,0,1,1,Suburban
481,101,0,1,1,1,0,Urban
482,117,1,0,0,0,1,Suburban
483,71,1,1,1,0,1,Rural
484,23,1,0,1,0,0,Urban
485,70,1,1,1,0,1,Rural
486,79,1,1,1,0,0,Suburban
487,79,1,1,0,1,0,Suburban
488,40,1,0,1,0,0,Suburban
489,98,1,0,1,1,0,Rural
490,14,1,1,1,1,0,Urban
491,29,1,1,1,0,1,Rural
492,16,1,0,1,0,0,Suburban
493,93,0,1,0,1,1,Suburban
494,87,1,0,1,1,1,Urban
495,10,1,1,1,1,1,Urban
496,47,1,1,1,1,0,Urban
497,119,1,1,1,1,1,Rural
498,4,1,1,1,1,1,Suburban
